MMMM_YY,Employee_ID,Age,Gender,City,Education_Level,Department,Income,Date_Of_Joining,LastWorkingDate,Joining_Designation,Grade,Total_Business_Value,Quarterly_Rating,Overtime_Flag
Feb-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,-23240,3.0,0
Mar-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,125112,2.0,0
Apr-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,-3695,1.0,0
May-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,166644,4.0,0
Jun-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,211260,3.0,0
Jul-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,224841,2.0,1
Aug-21,10003,,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,105806,4.0,0
Sep-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,53622,4.0,0
Oct-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,83484,2.0,0
Nov-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,56606,2.0,0
Dec-21,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,104468,4.0,0
Jan-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,85778,,0
Feb-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,136203,1.0,1
Mar-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,115881,1.0,0
Apr-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,239236,1.0,0
May-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,126345,4.0,0
Jun-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,69221,4.0,1
Jul-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,131988,3.0,1
Aug-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,196341,3.0,0
Sep-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,137323,3.0,1
Oct-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,62397,1.0,0
Nov-22,10003,,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,-8697,3.0,0
Dec-22,10003,51.0,1,KOL,2,Retail Banking,65000.0,2019-07-18,,Manager,B,210983,5.0,0
Jan-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,124322,3.0,0
Feb-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,62884,3.0,0
Mar-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,135465,3.0,1
Apr-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,140050,2.0,1
May-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,5531,3.0,1
Jun-21,10004,37.0,0,BLR,2,Corporate Banking,,2019-05-17,,Analyst,A,95183,2.0,1
Jul-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,153393,4.0,0
Aug-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,-4526,1.0,0
Sep-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,91732,4.0,0
Oct-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,199547,3.0,0
Nov-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,-14164,2.0,0
Dec-21,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,28839,4.0,0
Jan-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,92930,,0
Feb-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,192015,3.0,1
Mar-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,95314,2.0,1
Apr-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,-16114,4.0,1
May-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,146953,3.0,0
Jun-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,122066,2.0,1
Jul-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,80505,1.0,0
Aug-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,61062,3.0,1
Sep-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,146812,3.0,0
Oct-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,130227,2.0,1
Nov-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,107603,2.0,0
Dec-22,10004,37.0,0,BLR,2,Corporate Banking,56612.0,2019-05-17,,Analyst,A,129418,3.0,1
Jan-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,133452,2.0,0
Feb-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,-2996,3.0,1
Mar-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,99824,4.0,1
Apr-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,191834,3.0,0
May-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,77433,1.0,0
Jun-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,72974,2.0,1
Jul-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,68593,4.0,0
Aug-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,132263,2.0,0
Sep-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,96259,2.0,0
Oct-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,100028,3.0,0
Nov-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,88240,3.0,1
Dec-21,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,139295,1.0,1
Jan-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,121104,4.0,1
Feb-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,161563,3.0,0
Mar-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,222150,2.0,0
Apr-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,217911,3.0,1
May-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,229083,2.0,0
Jun-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,153182,3.0,1
Jul-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,105088,3.0,0
Aug-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,128421,4.0,1
Sep-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,52968,1.0,0
Oct-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,138599,3.0,0
Nov-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,193138,3.0,0
Dec-22,10005,33.0,0,PUN,2,Corporate Banking,51447.0,2019-04-03,,Analyst,C,128615,1.0,1
Jan-21,10006,30.0,0,BLR,2,Corporate Banking,52277.0,2018-10-13,2021-05-26,Deputy Manager,C,165582,1.0,1
Feb-21,10006,30.0,0,BLR,2,Corporate Banking,52277.0,2018-10-13,2021-05-26,Deputy Manager,C,145176,3.0,1
Mar-21,10006,30.0,0,BLR,2,Corporate Banking,52277.0,2018-10-13,2021-05-26,Deputy Manager,C,196767,2.0,0
Apr-21,10006,30.0,0,BLR,2,Corporate Banking,52277.0,2018-10-13,2021-05-26,Deputy Manager,C,155012,4.0,1
May-21,10006,30.0,0,BLR,2,Corporate Banking,52277.0,2018-10-13,2021-05-26,Deputy Manager,C,154791,3.0,1
Jan-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,47111,2.0,1
Feb-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,51412,4.0,0
Mar-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,37228,2.0,0
Apr-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,41447,1.0,0
May-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,-7396,3.0,1
Jun-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,24337,1.0,1
Jul-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,5810,,1
Aug-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,-18057,3.0,0
Sep-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,C,50974,2.0,1
Oct-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,20328,4.0,1
Nov-21,10007,51.0,1,AHM,2,Operations,,2018-07-29,,Senior Analyst,D,39824,2.0,1
Dec-21,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,-27396,2.0,0
Jan-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,56366,1.0,1
Feb-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,21770,2.0,0
Mar-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,29248,2.0,1
Apr-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,-20413,1.0,1
May-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,49030,3.0,0
Jun-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,-17323,1.0,1
Jul-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,-12544,3.0,0
Aug-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,17943,2.0,0
Sep-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,39400,3.0,0
Oct-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,15756,2.0,1
Nov-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,12067,2.0,1
Dec-22,10007,51.0,1,AHM,2,Operations,51491.0,2018-07-29,,Senior Analyst,D,22615,3.0,1
Jan-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,-9614,1.0,1
Feb-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,5251,1.0,0
Mar-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,56572,2.0,1
Apr-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,17869,3.0,1
May-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,20818,3.0,0
Jun-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,-2481,2.0,1
Jul-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,33161,2.0,0
Aug-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,21680,2.0,0
Sep-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,42164,1.0,0
Oct-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,45520,1.0,0
Nov-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,14951,1.0,1
Dec-21,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,19971,1.0,0
Jan-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,40312,3.0,0
Feb-22,10008,43.0,1,DEL,2,Operations,,2021-01-21,,Deputy Manager,A,40442,3.0,0
Mar-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,23384,1.0,0
Apr-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,56611,2.0,0
May-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,47873,1.0,0
Jun-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,66592,3.0,0
Jul-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,44246,2.0,0
Aug-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,17647,,0
Sep-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,-7600,1.0,1
Oct-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,-7663,3.0,0
Nov-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,38746,2.0,0
Dec-22,10008,43.0,1,DEL,2,Operations,75407.0,2021-01-21,,Deputy Manager,A,38508,2.0,1
Jan-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,-10476,3.0,0
Feb-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,14546,2.0,0
Mar-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,48007,3.0,0
Apr-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,53669,,0
May-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,63344,1.0,0
Jun-21,10009,29.0,0,AHM,1,Operations,,2018-06-28,,Analyst,B,44712,4.0,1
Jul-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,-3132,4.0,1
Aug-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,15293,2.0,1
Sep-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,8997,3.0,1
Oct-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,57410,3.0,0
Nov-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,35675,3.0,1
Dec-21,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,13062,1.0,1
Jan-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,45586,3.0,0
Feb-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,21641,2.0,1
Mar-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,8582,1.0,1
Apr-22,10009,29.0,0,AHM,1,Operations,,2018-06-28,,Analyst,B,4390,4.0,1
May-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,50148,2.0,0
Jun-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,33694,1.0,0
Jul-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,30249,3.0,0
Aug-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,-3371,5.0,1
Sep-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,26543,3.0,0
Oct-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,38826,3.0,1
Nov-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,34579,2.0,0
Dec-22,10009,29.0,0,AHM,1,Operations,65684.0,2018-06-28,,Analyst,B,42064,1.0,1
Jan-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,69159,3.0,1
Feb-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,61028,4.0,0
Mar-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,23567,3.0,0
Apr-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,85602,2.0,0
May-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,42856,4.0,0
Jun-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,22861,3.0,0
Jul-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,69962,4.0,0
Aug-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,-16219,5.0,0
Sep-21,10010,48.0,0,CHN,1,Risk & Compliance,,2021-04-24,,Senior Analyst,B,69394,3.0,0
Oct-21,10010,48.0,0,CHN,1,Risk & Compliance,,2021-04-24,,Senior Analyst,B,23811,3.0,1
Nov-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,71634,4.0,0
Dec-21,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,90663,2.0,0
Jan-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,54028,,0
Feb-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,66621,3.0,0
Mar-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,50900,2.0,0
Apr-22,10010,48.0,0,CHN,1,Risk & Compliance,,2021-04-24,,Senior Analyst,B,76293,1.0,0
May-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,95102,2.0,0
Jun-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,43649,3.0,0
Jul-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,41358,2.0,1
Aug-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,-24634,4.0,0
Sep-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,60140,4.0,0
Oct-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,17740,2.0,0
Nov-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,21634,4.0,0
Dec-22,10010,48.0,0,CHN,1,Risk & Compliance,22000.0,2021-04-24,,Senior Analyst,B,84119,2.0,1
Jan-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,21862,3.0,0
Feb-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,19227,3.0,0
Mar-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,81841,4.0,0
Apr-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,60849,3.0,0
May-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,49990,4.0,0
Jun-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,63484,2.0,1
Jul-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,19557,5.0,0
Aug-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,62493,3.0,0
Sep-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,20530,3.0,0
Oct-21,10011,41.0,0,PUN,1,IT & Digital,,2020-05-14,,Analyst,C,-21961,4.0,0
Nov-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,3531,2.0,0
Dec-21,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,83116,,1
Jan-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,49927,3.0,0
Feb-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,17235,3.0,0
Mar-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,77413,4.0,0
Apr-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,-25740,2.0,0
May-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,9736,4.0,1
Jun-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,45530,2.0,0
Jul-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,103890,3.0,0
Aug-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,42719,4.0,0
Sep-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,86900,2.0,0
Oct-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,98854,2.0,0
Nov-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,97717,3.0,0
Dec-22,10011,41.0,0,PUN,1,IT & Digital,66806.0,2020-05-14,,Analyst,C,45890,4.0,0
Jan-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,39772,3.0,0
Feb-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,52314,,0
Mar-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,45031,3.0,1
Apr-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,-13862,3.0,1
May-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,20608,3.0,0
Jun-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,-620,2.0,0
Jul-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,9336,2.0,0
Aug-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,108597,2.0,0
Sep-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,55332,3.0,0
Oct-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,53931,3.0,0
Nov-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,14141,3.0,0
Dec-21,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,104215,4.0,0
Jan-22,10012,45.0,1,PUN,2,Risk & Compliance,58505.0,2018-03-07,,Analyst,C,19279,2.0,0
